N̼mero de Clientes, C de Erlang, Uso del servidor
1,0.006289,0.0
51,0.006289,0.002434
101,0.006289,0.013781
151,0.006289,0.013025
201,0.006289,0.012759
251,0.006289,0.012117
301,0.006289,0.015955
351,0.006289,0.013574
401,0.006289,0.014367
451,0.006289,0.013028
501,0.006289,0.011554
551,0.006289,0.010081
601,0.006289,0.009435
651,0.006289,0.008681
701,0.006289,0.007983
751,0.006289,0.010505
801,0.006289,0.009846
851,0.006289,0.009167
901,0.006289,0.008584
951,0.006289,0.008184
1001,0.006289,0.00777
1051,0.006289,0.007362
1101,0.006289,0.007037
1151,0.006289,0.006689
1201,0.006289,0.00645
1251,0.006289,0.007047
1301,0.006289,0.006789
1351,0.006289,0.006591
1401,0.006289,0.006338
1451,0.006289,0.006125
1501,0.006289,0.006202
1551,0.006289,0.006012
1601,0.006289,0.006147
1651,0.006289,0.005942
1701,0.006289,0.005821
1751,0.006289,0.005631
1801,0.006289,0.005668
1851,0.006289,0.005512
1901,0.006289,0.005367
1951,0.006289,0.005533
2001,0.006289,0.006144
2051,0.006289,0.006154
2101,0.006289,0.006011
2151,0.006289,0.006478
2201,0.006289,0.006435
2251,0.006289,0.007104
2301,0.006289,0.006946
2351,0.006289,0.0074
2401,0.006289,0.007511
2451,0.006289,0.007377
2501,0.006289,0.007334
2551,0.006289,0.007229
2601,0.006289,0.007104
2651,0.006289,0.007279
2701,0.006289,0.007147
2751,0.006289,0.007071
2801,0.006289,0.007026
2851,0.006289,0.006906
2901,0.006289,0.006886
2951,0.006289,0.006799
3001,0.006289,0.006683
3051,0.006289,0.006627
3101,0.006289,0.006492
3151,0.006289,0.007008
3201,0.006289,0.00742
3251,0.006289,0.007599
3301,0.006289,0.00759
3351,0.006289,0.007715
3401,0.006289,0.007587
3451,0.006289,0.007583
3501,0.006289,0.00749
3551,0.006289,0.007521
3601,0.006289,0.007394
3651,0.006289,0.007286
3701,0.006289,0.007186
3751,0.006289,0.007085
3801,0.006289,0.007262
3851,0.006289,0.007354
3901,0.006289,0.007383
3951,0.006289,0.007348
4001,0.006289,0.00723
4051,0.006289,0.007144
4101,0.006289,0.007071
4151,0.006289,0.006972
4201,0.006289,0.0069
4251,0.006289,0.006813
4301,0.006289,0.006767
4351,0.006289,0.007779
4401,0.006289,0.007695
4451,0.006289,0.007613
4501,0.006289,0.007583
4551,0.006289,0.007604
4601,0.006289,0.007582
4651,0.006289,0.007512
4701,0.006289,0.007431
4751,0.006289,0.007365
4801,0.006289,0.007362
4851,0.006289,0.007293
4901,0.006289,0.007278
4951,0.006289,0.007312
5001,0.006289,0.007336
5051,0.006289,0.007256
5101,0.006289,0.007265
5151,0.006289,0.007243
5201,0.006289,0.007173
5251,0.006289,0.007094
5301,0.006289,0.007016
5351,0.006289,0.006944
5401,0.006289,0.006939
5451,0.006289,0.006909
5501,0.006289,0.006849
5551,0.006289,0.006799
5601,0.006289,0.006748
5651,0.006289,0.006766
5701,0.006289,0.006741
5751,0.006289,0.006682
5801,0.006289,0.006635
5851,0.006289,0.006606
5901,0.006289,0.006554
5951,0.006289,0.006489
6001,0.006289,0.006432
6051,0.006289,0.006431
6101,0.006289,0.006371
6151,0.006289,0.006335
6201,0.006289,0.006482
6251,0.006289,0.006488
6301,0.006289,0.006475
6351,0.006289,0.006422
6401,0.006289,0.00659
6451,0.006289,0.006708
6501,0.006289,0.006648
6551,0.006289,0.006604
6601,0.006289,0.006545
6651,0.006289,0.006495
6701,0.006289,0.006531
6751,0.006289,0.006857
6801,0.006289,0.006821
6851,0.006289,0.006809
6901,0.006289,0.006758
6951,0.006289,0.006711
7001,0.006289,0.006669
7051,0.006289,0.00669
7101,0.006289,0.006707
7151,0.006289,0.006669
7201,0.006289,0.00664
7251,0.006289,0.006607
7301,0.006289,0.00655
7351,0.006289,0.006675
7401,0.006289,0.006659
7451,0.006289,0.006608
7501,0.006289,0.006589
7551,0.006289,0.006632
7601,0.006289,0.006603
7651,0.006289,0.00655
7701,0.006289,0.006505
7751,0.006289,0.006454
7801,0.006289,0.006444
7851,0.006289,0.006448
7901,0.006289,0.006478
7951,0.006289,0.006521
8001,0.006289,0.00648
8051,0.006289,0.006543
8101,0.006289,0.006595
8151,0.006289,0.006563
8201,0.006289,0.006531
8251,0.006289,0.006486
8301,0.006289,0.006447
8351,0.006289,0.006412
8401,0.006289,0.006367
8451,0.006289,0.00633
8501,0.006289,0.0063
8551,0.006289,0.006324
8601,0.006289,0.00629
8651,0.006289,0.006251
8701,0.006289,0.006216
8751,0.006289,0.006298
8801,0.006289,0.006295
8851,0.006289,0.006253
8901,0.006289,0.006296
8951,0.006289,0.006292
9001,0.006289,0.006315
9051,0.006289,0.006277
9101,0.006289,0.006244
9151,0.006289,0.006212
9201,0.006289,0.006174
9251,0.006289,0.006139
9301,0.006289,0.00616
9351,0.006289,0.006285
9401,0.006289,0.006247
9451,0.006289,0.00622
9501,0.006289,0.006279
9551,0.006289,0.006245
9601,0.006289,0.006216
9651,0.006289,0.006184
9701,0.006289,0.006166
9751,0.006289,0.006172
9801,0.006289,0.006237
9851,0.006289,0.006286
9901,0.006289,0.006258
9951,0.006289,0.006233
